condition,theme,n,kappa_vs_baseline
fewshot_0,T1_integration,80,0.8241206030150754
fewshot_0,T2_multimodal,80,0.8506069094304387
fewshot_0,T3_privacy,80,1.0
fewshot_0,T4_integrity,80,0.9195710455764076
fewshot_0,T5_disclosure,80,0.8132295719844359
fewshot_0,T6_equity,80,1.0
fewshot_0,T7_vendor_governance,80,1.0
fewshot_0,T8_pedagogical_redesign,80,0.9554565701559021
fewshot_0,MEAN,80,0.9203730875202825
fewshot_4,T1_integration,80,0.899812147777082
fewshot_4,T2_multimodal,80,0.928379588182632
fewshot_4,T3_privacy,80,1.0
fewshot_4,T4_integrity,80,0.9727520435967303
fewshot_4,T5_disclosure,80,0.9661016949152543
fewshot_4,T6_equity,80,1.0
fewshot_4,T7_vendor_governance,80,0.9634369287020111
fewshot_4,T8_pedagogical_redesign,80,0.9081515499425946
fewshot_4,MEAN,80,0.9548292441395381
fewshot_8,T1_integration,80,0.8996865203761755
fewshot_8,T2_multimodal,80,1.0
fewshot_8,T3_privacy,80,1.0
fewshot_8,T4_integrity,80,0.9727520435967303
fewshot_8,T5_disclosure,80,1.0
fewshot_8,T6_equity,80,1.0
fewshot_8,T7_vendor_governance,80,1.0
fewshot_8,T8_pedagogical_redesign,80,0.9554565701559021
fewshot_8,MEAN,80,0.9784868917661009
seed_22,T1_integration,80,1.0
seed_22,T2_multimodal,80,1.0
seed_22,T3_privacy,80,1.0
seed_22,T4_integrity,80,1.0
seed_22,T5_disclosure,80,1.0
seed_22,T6_equity,80,1.0
seed_22,T7_vendor_governance,80,1.0
seed_22,T8_pedagogical_redesign,80,1.0
seed_22,MEAN,80,1.0
seed_42,T1_integration,80,1.0
seed_42,T2_multimodal,80,1.0
seed_42,T3_privacy,80,1.0
seed_42,T4_integrity,80,1.0
seed_42,T5_disclosure,80,1.0
seed_42,T6_equity,80,1.0
seed_42,T7_vendor_governance,80,0.9648506151142356
seed_42,T8_pedagogical_redesign,80,0.9526066350710902
seed_42,MEAN,80,0.9896821562731657
temp_0.3,T1_integration,80,0.924812030075188
temp_0.3,T2_multimodal,80,0.8947368421052633
temp_0.3,T3_privacy,80,0.9459459459459459
temp_0.3,T4_integrity,80,0.9441340782122905
temp_0.3,T5_disclosure,80,1.0
temp_0.3,T6_equity,80,1.0
temp_0.3,T7_vendor_governance,80,0.9634369287020111
temp_0.3,T8_pedagogical_redesign,80,0.9554565701559021
temp_0.3,MEAN,80,0.953565299399575
