theme,region_A,region_B,p_A,p_B,diff,z,p_two_sided,bonferroni_alpha,reject_at_bonferroni
T7_vendor_governance,NA,EU,0.8,0.6666666666666666,0.13333333333333341,0.9319717960171484,0.3513511013830293,0.008333333333333333,0
T7_vendor_governance,NA,EA,0.8,0.3076923076923077,0.49230769230769234,2.8280923798341067,0.004682629181152809,0.008333333333333333,1
T7_vendor_governance,NA,LA,0.8,0.15384615384615385,0.6461538461538462,3.6424843592927494,0.00027001938918402857,0.008333333333333333,1
T7_vendor_governance,EU,EA,0.6666666666666666,0.3076923076923077,0.3589743589743589,1.9735429549092143,0.04843373566969422,0.008333333333333333,0
T7_vendor_governance,EU,LA,0.6666666666666666,0.15384615384615385,0.5128205128205128,2.8311682920424985,0.00463783114601557,0.008333333333333333,1
T7_vendor_governance,EA,LA,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.9309493362512627,0.3518797721063329,0.008333333333333333,0
T4_integrity,NA,EU,0.85,0.6666666666666666,0.18333333333333335,1.3272851328010833,0.18441437994903698,0.008333333333333333,0
T4_integrity,NA,EA,0.85,0.46153846153846156,0.3884615384615384,2.3726176222204245,0.01766253842725085,0.008333333333333333,0
T4_integrity,NA,LA,0.85,0.9230769230769231,-0.07307692307692315,-0.6284849788978779,0.5296862837739527,0.008333333333333333,0
T4_integrity,EU,EA,0.6666666666666666,0.46153846153846156,0.20512820512820507,1.1421055103241067,0.25341016527535487,0.008333333333333333,0
T4_integrity,EU,LA,0.6666666666666666,0.9230769230769231,-0.2564102564102565,-1.6848821438984511,0.09201131228221282,0.008333333333333333,0
T4_integrity,EA,LA,0.46153846153846156,0.9230769230769231,-0.46153846153846156,-2.5495097567963927,0.010787449254670456,0.008333333333333333,0
T5_disclosure,NA,EU,0.9,0.6111111111111112,0.28888888888888886,2.091479603201707,0.036485092964854804,0.008333333333333333,0
T5_disclosure,NA,EA,0.9,0.38461538461538464,0.5153846153846153,3.1478293205696724,0.0016448770625898668,0.008333333333333333,1
T5_disclosure,NA,LA,0.9,0.46153846153846156,0.43846153846153846,2.7634287509430133,0.005719757834569794,0.008333333333333333,1
T5_disclosure,EU,EA,0.6111111111111112,0.38461538461538464,0.22649572649572652,1.2452116263117665,0.2130539700706704,0.008333333333333333,0
T5_disclosure,EU,LA,0.6111111111111112,0.46153846153846156,0.1495726495726496,0.8257574185123955,0.40894171349296426,0.008333333333333333,0
T5_disclosure,EA,LA,0.38461538461538464,0.46153846153846156,-0.07692307692307693,-0.3969581307590986,0.6913983361351066,0.008333333333333333,0
