term,beta,se,z,p
(Intercept),3.8636547019558627,1.2382736451993939,3.1201945684095658,0.0018073161847816895
region_EU,-1.0799606109109596,1.3005945478975967,-0.8303591712395761,0.40633574247144455
region_EA,-2.510086667003761,1.3643221888431158,-1.8398049137734849,0.0657968837754195
region_LA,-2.2142305635024058,1.2973480089283225,-1.7067360093545574,0.08787113099720839
tier_upper,-1.4999584882253136,0.8874268299720989,-1.690233422706493,0.09098330651406884
sigma2_country,0.0001,,,
logL,43.5400973919266,,,
n_obs,64,,,
n_countries,18,,,
