theme,region,n_institutions_with_theme,n_institutions_total,prevalence
T1_integration,NA,19,20,0.95
T1_integration,EU,16,18,0.8888888888888888
T1_integration,EA,10,13,0.7692307692307693
T1_integration,LA,10,13,0.7692307692307693
T2_multimodal,NA,15,20,0.75
T2_multimodal,EU,12,18,0.6666666666666666
T2_multimodal,EA,9,13,0.6923076923076923
T2_multimodal,LA,6,13,0.46153846153846156
T3_privacy,NA,17,20,0.85
T3_privacy,EU,12,18,0.6666666666666666
T3_privacy,EA,9,13,0.6923076923076923
T3_privacy,LA,5,13,0.38461538461538464
T4_integrity,NA,17,20,0.85
T4_integrity,EU,12,18,0.6666666666666666
T4_integrity,EA,6,13,0.46153846153846156
T4_integrity,LA,12,13,0.9230769230769231
T5_disclosure,NA,18,20,0.9
T5_disclosure,EU,11,18,0.6111111111111112
T5_disclosure,EA,5,13,0.38461538461538464
T5_disclosure,LA,6,13,0.46153846153846156
T6_equity,NA,11,20,0.55
T6_equity,EU,5,18,0.2777777777777778
T6_equity,EA,3,13,0.23076923076923078
T6_equity,LA,5,13,0.38461538461538464
T7_vendor_governance,NA,16,20,0.8
T7_vendor_governance,EU,12,18,0.6666666666666666
T7_vendor_governance,EA,4,13,0.3076923076923077
T7_vendor_governance,LA,2,13,0.15384615384615385
T8_pedagogical_redesign,NA,14,20,0.7
T8_pedagogical_redesign,EU,6,18,0.3333333333333333
T8_pedagogical_redesign,EA,8,13,0.6153846153846154
T8_pedagogical_redesign,LA,5,13,0.38461538461538464
