theme,region_A,region_B,full_sign,stability_rate,median_diff,ci90_lo,ci90_hi,n_resamples
T1_integration,NA,EU,1,0.896,0.06666666666666665,-0.005611937082525291,0.1428571428571429,1000
T1_integration,NA,EA,1,0.99,0.1875,0.04861111111111116,0.2777777777777778,1000
T1_integration,NA,LA,1,0.994,0.18333333333333335,0.05833333333333335,0.30000000000000004,1000
T1_integration,EU,EA,1,0.937,0.125,-0.018075396825396856,0.23750000000000004,1000
T1_integration,EU,LA,1,0.934,0.12307692307692308,-0.008333333333333304,0.25,1000
T1_integration,EA,LA,0,0.0,0.0,-0.1477272727272727,0.16161616161616155,1000
T2_multimodal,NA,EU,1,0.858,0.08571428571428574,-0.044642857142857095,0.2212072649572649,1000
T2_multimodal,NA,EA,1,0.748,0.06470588235294117,-0.08594246031746033,0.20006493506493506,1000
T2_multimodal,NA,LA,1,0.998,0.28888888888888886,0.1428571428571429,0.4525560224089634,1000
T2_multimodal,EU,EA,-1,0.583,-0.023809523809523725,-0.17797979797979802,0.12504370629370626,1000
T2_multimodal,EU,LA,1,0.983,0.20261437908496738,0.04759103641456588,0.3690567765567765,1000
T2_multimodal,EA,LA,1,0.983,0.23232323232323238,0.06666666666666665,0.4,1000
T3_privacy,NA,EU,1,0.986,0.18067226890756294,0.05238095238095242,0.2952380952380953,1000
T3_privacy,NA,EA,1,0.966,0.15714285714285714,0.033333333333333326,0.2867132867132868,1000
T3_privacy,NA,LA,1,1.0,0.4598930481283422,0.33116883116883117,0.6125,1000
T3_privacy,EU,EA,-1,0.564,-0.019607843137254832,-0.16239316239316237,0.1333333333333333,1000
T3_privacy,EU,LA,1,0.998,0.282051282051282,0.1384615384615384,0.4606060606060606,1000
T3_privacy,EA,LA,1,0.997,0.303030303030303,0.13636363636363635,0.4938311688311685,1000
T4_integrity,NA,EU,1,0.988,0.18067226890756294,0.0641025641025641,0.29538003663003654,1000
T4_integrity,NA,EA,1,0.999,0.38333333333333336,0.25454545454545463,0.5333333333333333,1000
T4_integrity,NA,LA,-1,0.89,-0.07575757575757569,-0.17702205882352942,0.025210084033613467,1000
T4_integrity,EU,EA,1,0.979,0.20261437908496738,0.054545454545454564,0.36666666666666664,1000
T4_integrity,EU,LA,-1,1.0,-0.2529411764705882,-0.375,-0.1398601398601398,1000
T4_integrity,EA,LA,-1,1.0,-0.4548368298368298,-0.6,-0.3194444444444444,1000
T5_disclosure,NA,EU,1,0.999,0.2867647058823529,0.16956407563025205,0.40271493212669685,1000
T5_disclosure,NA,EA,1,1.0,0.5133547008547008,0.38235294117647056,0.6601307189542484,1000
T5_disclosure,NA,LA,1,1.0,0.4343434343434343,0.3116883116883117,0.5833333333333333,1000
T5_disclosure,EU,EA,1,0.991,0.22916666666666669,0.0787878787878788,0.380952380952381,1000
T5_disclosure,EU,LA,1,0.93,0.14545454545454545,-0.012121212121212088,0.3142857142857143,1000
T5_disclosure,EA,LA,-1,0.732,-0.07646103896103898,-0.25,0.09999999999999998,1000
T6_equity,NA,EU,1,1.0,0.2692307692307692,0.15416666666666667,0.4125,1000
T6_equity,NA,EA,1,1.0,0.3181818181818182,0.1871527777777778,0.475,1000
T6_equity,NA,LA,1,0.964,0.1657754010695187,0.02059380570409982,0.325,1000
T6_equity,EU,EA,1,0.667,0.03977272727272729,-0.08525162337662336,0.1965811965811966,1000
T6_equity,EU,LA,-1,0.867,-0.11396103896103899,-0.26715472027972026,0.03797348484848473,1000
T6_equity,EA,LA,-1,0.934,-0.15000000000000002,-0.3247863247863248,0.0,1000
T7_vendor_governance,NA,EU,1,0.95,0.13333333333333336,0.003571428571428608,0.2410714285714286,1000
T7_vendor_governance,NA,EA,1,1.0,0.48452380952380947,0.3647058823529411,0.625,1000
T7_vendor_governance,NA,LA,1,1.0,0.6333333333333334,0.5476190476190477,0.7638888888888888,1000
T7_vendor_governance,EU,EA,1,1.0,0.3613445378151261,0.22499999999999998,0.5142857142857142,1000
T7_vendor_governance,EU,LA,1,1.0,0.509090909090909,0.39999999999999997,0.6518453768453766,1000
T7_vendor_governance,EA,LA,1,0.949,0.15000000000000002,0.0,0.3,1000
T8_pedagogical_redesign,NA,EU,1,1.0,0.36134453781512604,0.24999999999999994,0.5025641025641026,1000
T8_pedagogical_redesign,NA,EA,1,0.818,0.08899886877828056,-0.0720506535947712,0.2397907647907648,1000
T8_pedagogical_redesign,NA,LA,1,1.0,0.3058823529411765,0.17026515151515154,0.47783846872082164,1000
T8_pedagogical_redesign,EU,EA,-1,0.999,-0.2792207792207792,-0.4333333333333333,-0.14285714285714285,1000
T8_pedagogical_redesign,EU,LA,-1,0.693,-0.05594405594405594,-0.2142857142857143,0.10000000000000003,1000
T8_pedagogical_redesign,EA,LA,1,0.973,0.2272727272727273,0.04545454545454547,0.41414141414141414,1000
