use_case,region_A,region_B,m_A,m_B,diff,ci_lo,ci_hi,eps,equivalent,boot_lo,boot_hi,n_A,n_B
assessment,NA,EU,0.05678571428571429,0.01219135802469137,0.04459435626102291,-0.1760166768614631,0.26520538938350896,0.2,False,-0.21895800264550266,0.30108300264550253,20,18
assessment,NA,EA,0.05678571428571429,0.20641025641025643,-0.14962454212454213,-0.46067098253036987,0.16142189828128561,0.2,False,-0.5173962912087912,0.20202655677655657,20,13
assessment,NA,LA,0.05678571428571429,0.022435897435897426,0.03434981684981686,-0.3710488522133311,0.43974848591296484,0.2,False,-0.4352261904761905,0.47467811355311323,20,13
assessment,EU,EA,0.01219135802469137,0.20641025641025643,-0.19421889838556505,-0.5040169833053345,0.11557918653420435,0.2,False,-0.5575412511870846,0.163368055555555,18,13
assessment,EU,LA,0.01219135802469137,0.022435897435897426,-0.010244539411206056,-0.4146861868821265,0.39419710805971436,0.2,False,-0.4618471035137701,0.4706597222222222,18,13
assessment,EA,LA,0.20641025641025643,0.022435897435897426,0.183974358974359,-0.2760840138032243,0.6440327317519423,0.2,False,-0.32886217948717955,0.720528846153846,13,13
research,NA,EU,0.2961507936507936,0.3104938271604938,-0.014343033509700176,-0.22830505825603525,0.1996189912366349,0.2,False,-0.2582979497354496,0.2436484788359788,20,18
research,NA,EA,0.2961507936507936,0.4282051282051282,-0.13205433455433457,-0.4709205456650311,0.20681187655636196,0.2,False,-0.5519471916971915,0.22616018009768002,20,13
research,NA,LA,0.2961507936507936,0.28205128205128205,0.01409951159951156,-0.281584020526123,0.30978304372514615,0.2,False,-0.31071283577533576,0.3709692460317456,20,13
research,EU,EA,0.3104938271604938,0.4282051282051282,-0.1177113010446344,-0.47228328590307184,0.23686068381380304,0.2,False,-0.5552955840455841,0.274142628205128,18,13
research,EU,LA,0.3104938271604938,0.28205128205128205,0.028442545109211737,-0.2851172332173843,0.3420023234358078,0.2,False,-0.3421875,0.39295613722697037,18,13
research,EA,LA,0.4282051282051282,0.28205128205128205,0.14615384615384613,-0.2629553025866726,0.5552629948943648,0.2,False,-0.29362179487179485,0.6102884615384614,13,13
teaching,NA,EU,0.5748809523809524,0.38070987654320987,0.1941710758377425,-0.036433462890655466,0.4247756145661405,0.2,False,-0.06451146384479722,0.4635185185185185,20,18
teaching,NA,EA,0.5748809523809524,0.5448717948717948,0.030009157509157558,-0.35334255079771043,0.41336086581602555,0.2,False,-0.4285588369963372,0.4506462912087911,20,13
teaching,NA,LA,0.5748809523809524,0.42948717948717946,0.14539377289377292,-0.1769217471786268,0.46770929296617264,0.2,False,-0.21186584249084253,0.5373827838827839,20,13
teaching,EU,EA,0.38070987654320987,0.5448717948717948,-0.16416191832858495,-0.5670865494450601,0.23876271278789024,0.2,False,-0.6280160849952517,0.2844892568850901,18,13
teaching,EU,LA,0.38070987654320987,0.42948717948717946,-0.04877730294396959,-0.3941423570216733,0.2965877511337341,0.2,False,-0.4358935778727445,0.3482888176638164,18,13
teaching,EA,LA,0.5448717948717948,0.42948717948717946,0.11538461538461536,-0.34619647127053765,0.5769657020397684,0.2,False,-0.370576923076923,0.6667948717948712,13,13
administration,NA,EU,0.19884920634920636,0.26558641975308644,-0.06673721340388009,-0.19915190487710743,0.06567747806934726,0.2,True,-0.22561915784832445,0.08892956349206341,20,18
administration,NA,EA,0.19884920634920636,0.15641025641025635,0.042438949938950005,-0.18336897203517066,0.2682468719130707,0.2,False,-0.21045779914529913,0.2869078144078143,20,13
administration,NA,LA,0.19884920634920636,0.006410256410256405,0.19243894993894994,0.05019305485209516,0.33468484502580476,0.2,False,0.037820970695970714,0.36325045787545784,20,13
administration,EU,EA,0.26558641975308644,0.15641025641025635,0.10917616334283009,-0.12792991833450656,0.34628224502016675,0.2,False,-0.17125652896486226,0.38206552706552693,18,13
administration,EU,LA,0.26558641975308644,0.006410256410256405,0.25917616334283006,0.09960182013199378,0.4187505065536663,0.2,False,0.08216999050332383,0.4455608974358973,18,13
administration,EA,LA,0.15641025641025635,0.006410256410256405,0.14999999999999994,-0.09273347136208962,0.39273347136208947,0.2,False,-0.1051282051282051,0.42435897435897435,13,13
